"","VDC_Jur","NAME_1","NAME_2","NAME_3","Frst_size","CF_area","CF","PropCommFrst","NM_2015","Ppl2022","Ppl2015","RoadDensity","Deprvtn","Slope2022","PrecipAnom","MedGapSize_M","MedGapDist_M","TotalGapSize_ha","NGaps","PreGapArea_Ha","PreGapN","MedLossSize_M","MedLossDist_M","TotaLossSize_Ha","NLosses"
"427","Bara_Motisar","Central","Narayani","Bara",0,0,FALSE,NA,-7393.74658203125,7386,11807,4.2878661296952,68.2847595214844,93,1.80811141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Bara_n.a.","Central","Narayani","Bara",0,0,FALSE,NA,-2038.02795410156,1802,1431,4.24287939759451,74.9940795898438,107,1.871625067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Bara_Narahi","Central","Narayani","Bara",0,0,FALSE,NA,-18411.3292236328,6827,5757,3.44972491069056,69.9795837402344,93,1.896712922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Bara_Nijgadh","Central","Narayani","Bara",7510.05608561,6071.39,TRUE,0.808434708181924,-1305.5895690918,22298,23687,2.23445443638956,64.2705955505371,185,1.887252232,28.1866100281477,317.405705862374,37.7859813778846,2077,37.1487909333084,2072,84.5546693690121,127.214811404886,1.99505108857416,113
"431","Bara_PakadiyaChikani","Central","Narayani","Bara",2.274893934,0,FALSE,0,-13689.4243164062,6280,6025,3.6797918696056,71.8652877807617,80,1.863693525,113.031242588535,11.3227997762526,0.166720524196513,5,0.166720524196513,5,NA,NA,NA,NA
"432","Bara_Paterwa","Central","Narayani","Bara",2.914506666,0,FALSE,0,-21874.681640625,7284,5153,3.75881666698025,76.2146835327148,90,1.928499024,18.8289786688983,6.48192492547432,0.373757050098665,9,0.373757050098665,9,NA,NA,NA,NA
"433","Bara_Patharhati","Central","Narayani","Bara",3.615562448,0,FALSE,0,-4896.16455078125,5378,5553,4.045560888825,64.2028751373291,90,1.878036123,18.8215813692659,10.8581248877483,0.236211237329431,23,0.236211237329431,23,NA,NA,NA,NA
"434","Bara_Pathera","Central","Narayani","Bara",3.464778528,0,FALSE,0,-5234.81298828125,4431,6209,2.49427613176567,71.1055564880371,91,1.892082176,18.8220600504428,10.8582448372498,0.0658769648147747,13,0.0658769648147747,13,NA,NA,NA,NA
"435","Bara_Pheta","Central","Narayani","Bara",0,0,FALSE,NA,-10915.5830078125,5757,2800,4.23611428654871,66.8047866821289,89,1.807620516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Bara_Piparabirta","Central","Narayani","Bara",0,0,FALSE,NA,-10130.9775390625,10270,28644,4.73089483955151,69.027416229248,86,1.859685316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Bara_PiparaSimara","Central","Narayani","Bara",6277.00826161,0,FALSE,0,-2552.98388671875,36020,5215,2.28066026875812,54.0836791992188,177,1.939430661,18.7891915459186,343.675951068609,14.4074742731128,1119,14.4074742731128,1119,84.5507654882967,357.019122094689,0.583303121538088,49
"438","Bara_PiparpatiJabadi","Central","Narayani","Bara",0,0,FALSE,NA,-8418.0009765625,4073,3713,5.15715467322223,69.5421371459961,87,1.854483651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Bara_PiparpatiParchrouwa","Central","Narayani","Bara",0,0,FALSE,NA,-13689.4243164062,5179,5564,2.96545458044101,64.5082931518555,81,1.864595285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Bara_PipraBasantapur","Central","Narayani","Bara",0,0,FALSE,NA,-7272.84094238281,4781,4471,2.66681571743638,76.4054908752441,94,1.923353828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Bara_PipradhiGoth","Central","Narayani","Bara",0,0,FALSE,NA,-4896.16455078125,7537,6258,4.00428467954154,64.9891815185547,84,1.829657005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Bara_Prasauni","Central","Narayani","Bara",6.064494217,0,FALSE,0,10478.2807617188,9654,10112,6.42018547562412,52.783088684082,91,1.785422937,56.443030519411,21.6304043653904,0.448722295264155,34,0.448722295264155,34,NA,NA,NA,NA
"443","Bara_Prastoka","Central","Narayani","Bara",0,0,FALSE,NA,-6285.52038574219,11739,12626,4.90371228342522,70.0904197692871,99,1.832620031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Bara_Prasurmpur","Central","Narayani","Bara",0,0,FALSE,NA,-18128.6376953125,8828,8356,4.22721645462039,63.7078590393066,84,1.831141117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Bara_Purainiya","Central","Narayani","Bara",0,0,FALSE,NA,-10915.5830078125,10300,8285,6.20607873619827,63.058536529541,89,1.741223512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Bara_Raghunathpur","Central","Narayani","Bara",0.000325884,0,FALSE,0,-14663.0281982422,6489,10283,3.73411015962058,74.7506103515625,97,1.873777098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Bara_RampurTokani","Central","Narayani","Bara",0.434323757,0,FALSE,0,-6285.52038574219,7331,6160,4.38012685111763,65.9046363830566,97,1.81402984,9.4016176527366,3.35575594765271,0.00188032353054732,2,0.00188032353054732,2,NA,NA,NA,NA
"448","Bara_Rampurwa","Central","Narayani","Bara",0,0,FALSE,NA,-15996.5650634766,11235,13186,4.71434471664694,74.3496589660645,102,1.918851608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Bara_Ratanpuri","Central","Narayani","Bara",10699.1577212,0,FALSE,0,-646.078125,14611,12512,2.05345397917988,78.8075714111328,320,1.911929566,65.7232078239322,210.890254876975,198.392191442226,4925,198.931080367472,4942,84.4954819772393,78.6831525296772,0.52382072330378,38
"450","Bara_Rauwahi","Central","Narayani","Bara",0,0,FALSE,NA,-4896.16455078125,3586,4108,6.96522359244548,71.9787902832031,88,1.869837482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Bara_Sapahi","Central","Narayani","Bara",3733.48556268,0,FALSE,0,-9319.65487670898,9655,10561,1.91547387216442,73.4028549194336,139,1.868888607,37.6019334793091,39.6078332810158,10.9065237924702,495,8.86315029300284,475,84.604349128902,58.3502465532655,12.4847823622212,248
"452","Bara_ShreenagarBairiya","Central","Narayani","Bara",0,0,FALSE,NA,-23820.4018554688,6291,6023,4.74507580522181,69.8091812133789,83,1.877688999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Bara_Sihorwa","Central","Narayani","Bara",0,0,FALSE,NA,-9989.76892089844,5595,5553,2.40038497054644,75.0667304992676,104,1.872703508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","Bara_Sinhasani","Central","Narayani","Bara",0,0,FALSE,NA,-15066.7281494141,5379,6565,2.80795706174872,76.1733131408691,101,1.899956211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Bara_Sisahaniya","Central","Narayani","Bara",6.017705733,0,FALSE,0,-10915.5830078125,3669,4402,4.5948284599585,68.3650398254395,92,1.789061504,28.2279211096466,15.5392509921441,0.238054117624648,18,0.238054117624648,18,NA,NA,NA,NA
"456","Bara_Tedhakatti","Central","Narayani","Bara",0,0,FALSE,NA,-9996.740234375,4628,5717,4.41636053009543,72.3362808227539,96,1.859717534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Bara_Telkuwa","Central","Narayani","Bara",0,0,FALSE,NA,-4896.16455078125,5648,6631,3.80851782859575,76.4058074951172,87,1.874440514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Bara_Tetariya","Central","Narayani","Bara",3.124057979,0,FALSE,0,-2038.02795410156,4236,4090,2.5015103928362,75.9930648803711,104,1.867994122,9.40419329702854,10.8530964699776,0.148585436497256,13,0.148585436497256,13,NA,NA,NA,NA
"459","Bara_Uchidiha","Central","Narayani","Bara",0,0,FALSE,NA,-5691.76416015625,4652,6145,5.13134361630669,70.7501068115234,86,1.860555897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Bara_Umarjan","Central","Narayani","Bara",0,0,FALSE,NA,-2038.02795410156,7349,6813,3.46046574440865,76.3895454406738,102,1.868508226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Bardiya_Badalpur","Mid-Western","Bheri","Bardiya",3.865625953,13,TRUE,1,-7526.55767822266,7119,8269,3.43996128239295,71.9838180541992,149,1.488773204,9.29003985226154,10.7679756596161,0.0594554786136374,19,0.0594554786136374,19,NA,NA,NA,NA
"462","Bardiya_Baganaha","Mid-Western","Bheri","Bardiya",2051.33892465,1441.68,TRUE,0.702799514344505,-1687.81433105469,14537,15700,2.34734562989484,71.4988136291504,172,1.471195285,37.1582859866321,24.8685193956881,13.9094402198661,515,12.7404734651007,507,250.808436907828,9.7249537199997,0.359607343476266,5
"463","Bardiya_Baniyabhar","Mid-Western","Bheri","Bardiya",4281.56445206,1908.74,TRUE,0.445804336562455,-1738.06713867188,20801,21227,2.84043447788227,73.5179977416992,174,1.470689495,37.161754284054,43.2783286063764,38.3489990423296,1582,36.7815063217573,1575,83.6744130179286,29.1369300918936,0.435056038957462,26
"464","Bardiya_Belawa","Mid-Western","Bheri","Bardiya",7244.46981656,1297.81,TRUE,0.179144924730497,-351.637817382812,18803,19048,1.66818528879775,77.118408203125,187,1.476657812,65.0800874773413,51.647339697076,69.1539208136894,1713,68.6586157139039,1692,83.7054848987609,217.342839460138,1.72339991085157,98
"465","Bardiya_Bhimapur","Mid-Western","Bheri","Bardiya",27.651026119,139.75,TRUE,1,-2496.36639404297,12179,12081,3.63220887115539,66.9859008789062,143,1.463375986,23.2302776128054,14.4334233059851,0.486895917828754,20,0.486895917828754,20,NA,NA,NA,NA
"466","Bardiya_Daulatpur","Mid-Western","Bheri","Bardiya",11.051657099,163.32,TRUE,1,-2152.63916015625,8495,9042,2.96984781835146,75.0279235839844,155,1.501412054,46.4281476791948,27.2150415740683,0.482864586445689,34,0.482864586445689,34,NA,NA,NA,NA
"467","Bardiya_Deudakala","Mid-Western","Bheri","Bardiya",3290.247039,1347.48,TRUE,0.409537637760336,-12492.2858886719,25453,23369,2.57567239542229,73.2203521728516,166,1.44572393,27.9023085720837,32.4159244122201,34.4389950819857,1415,32.2924487009712,1402,83.703896805644,593.34682331993,0.66124616917558,53
"468","Bardiya_Dhadhawar","Mid-Western","Bheri","Bardiya",4318.79358473,1573.59,TRUE,0.364358696271977,-3145.88110351562,28723,27433,3.15370020909413,74.2022094726562,162,1.455230003,27.9081941191107,38.6760209572769,36.1949164790077,1487,35.4501046798134,1478,83.693757481873,19.449648662899,0.6109679659646,42
