FID,VDC_Jur,GID_4,GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,GID_3,NAME_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,CC_4,NAME_5,CF_area,CF,Frst_size,Frst,Gap_size,Gaps,Floss_size,Floss,Mean_dist,CF_F,Floss_CF,Floss_Frst
98,Arghakhanchi_Khan,NPL.5.3.1.23_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Khan,NA,Village development committee,Village development committee,NA,Khan,323,14,681.6530679,5,21.68371231,510,0.198956479,14,25.77931881,0.473848084,0.000615964,0.00029
99,Arghakhanchi_Khanchikot,NPL.5.3.1.24_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Khanchikot,NA,Village development committee,Village development committee,NA,Khanchikot,229.95,4,820.4471996,9,26.6936276,549,0.06636622,5,42.87580126,0.280273978,0.000288612,0.00008
100,Arghakhanchi_Khandaha,NPL.5.3.1.25_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Khandaha,NA,Village development committee,Village development committee,NA,Khandaha,296.64,9,1078.901985,5,37.37777331,879,0.18225243,17,45.76309226,0.274946199,0.000614389,0.00017
101,Arghakhanchi_Khidim,NPL.5.3.1.26_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Khidim,NA,Village development committee,Village development committee,NA,Khidim,413.1,6,1327.797839,3,49.54313608,914,3.89813985,158,219.3321852,0.311116638,0.00943631,0.00294
102,Arghakhanchi_Khilji,NPL.5.3.1.27_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Khilji,NA,Village development committee,Village development committee,NA,Khilji,66.25,3,1290.566653,1,36.98682688,674,0.127642463,14,103.5198786,0.05133404,0.001926679,0.0001
103,Arghakhanchi_Maidan,NPL.5.3.1.28_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Maidan,NA,Village development committee,Village development committee,NA,Maidan,309.13,6,1905.125948,10,60.74406332,1230,0.090857384,9,25.44447434,0.162262238,0.000293913,0.00005
104,Arghakhanchi_Mareng,NPL.5.3.1.29_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Mareng,NA,Village development committee,Village development committee,NA,Mareng,127.25,7,1110.585057,2,50.91880561,806,0.217767991,23,103.9324203,0.114579247,0.00171134,0.0002
105,Arghakhanchi_Narapani,NPL.5.3.1.30_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Narapani,NA,Village development committee,Village development committee,NA,Narapani,320.42,11,1472.388249,2,41.97396985,866,0.199127195,22,203.6837452,0.217619232,0.000621457,0.00014
106,Arghakhanchi_Nuwakot,NPL.5.3.1.31_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Nuwakot,NA,Village development committee,Village development committee,NA,Nuwakot,1500.81,9,2325.406672,2,70.78942299,1289,0.162576282,17,101.0247424,0.645396789,0.000108326,0.00007
107,Arghakhanchi_Pali,NPL.5.3.1.32_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Pali,NA,Village development committee,Village development committee,NA,Pali,299.25,7,790.3550973,15,32.98371593,719,0.190771979,19,81.68687085,0.378627279,0.0006375,0.00024
108,Arghakhanchi_Pathauti,NPL.5.3.1.33_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Pathauti,NA,Village development committee,Village development committee,NA,Pathauti,536.92,8,891.9937176,8,23.27726902,654,0.580815837,35,219.2394318,0.601932491,0.001081755,0.00065
109,Arghakhanchi_Pathona,NPL.5.3.1.34_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Pathona,NA,Village development committee,Village development committee,NA,Pathona,190.81,6,793.844784,1,33.90066273,571,0.116158325,11,97.29632843,0.240361849,0.000608764,0.00015
110,Arghakhanchi_Pokharathok,NPL.5.3.1.35_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Pokharathok,NA,Village development committee,Village development committee,NA,Pokharathok,177.25,5,1522.183141,11,39.72123412,1251,0.279896228,12,125.0127549,0.116444595,0.001579104,0.00018
111,Arghakhanchi_Sandhikharka,NPL.5.3.1.36_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Sandhikharka,NA,Village development committee,Village development committee,NA,Sandhikharka,445.04,14,1150.706677,16,44.76676942,1021,0.008295393,1,0,0.386753644,1.86397E-05,0.00001
112,Arghakhanchi_Siddhara,NPL.5.3.1.37_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Siddhara,NA,Village development committee,Village development committee,NA,Siddhara,7762.78,47,19228.9265,4,378.9152219,5663,4.28631894,299,195.1716408,0.403703244,0.000552163,0.00022
113,Arghakhanchi_Simalapani,NPL.5.3.1.38_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Simalapani,NA,Village development committee,Village development committee,NA,Simalapani,3134.91,25,9034.265066,4,152.9304517,2479,0.221350692,22,234.9712539,0.347002216,7.06083E-05,0.00002
114,Arghakhanchi_Sitapur,NPL.5.3.1.39_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Sitapur,NA,Village development committee,Village development committee,NA,Sitapur,841.55,11,1773.357243,11,45.79780759,1083,0.008190312,1,0,0.474551872,9.73241E-06,0
115,Arghakhanchi_Subarnakhal,NPL.5.3.1.40_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Subarnakhal,NA,Village development committee,Village development committee,NA,Subarnakhal,188.04,4,1892.420398,6,53.7078868,1202,0.074175363,9,13.82889115,0.099364814,0.000394466,0.00004
116,Arghakhanchi_Thada,NPL.5.3.1.41_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Thada,NA,Village development committee,Village development committee,NA,Thada,1970.63,21,9173.211758,9,184.4000969,3515,0.32802204,33,206.2845989,0.214824431,0.000166455,0.00004
117,Arghakhanchi_Thulapokhara,NPL.5.3.1.42_1,NPL,Nepal,NPL.5_1,West,NPL.5.3_1,Lumbini,NPL.5.3.1_1,Arghakhanchi,Thulapokhara,NA,Village development committee,Village development committee,NA,Thulapokhara,207.07,12,537.5623046,10,31.52258427,640,0.229322461,16,133.3664908,0.385201861,0.001107463,0.00043
